,annotator_0,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5,annotator_6
annotator_0,"[[23  0]
 [ 0  7]]","[[10 13]
 [ 5  2]]","[[14  9]
 [ 4  3]]","[[15  8]
 [ 3  4]]","[[ 9 14]
 [ 1  6]]","[[13 10]
 [ 4  3]]","[[ 7 16]
 [ 6  1]]"
annotator_1,"[[10  5]
 [13  2]]","[[15  0]
 [ 0 15]]","[[ 8  7]
 [10  5]]","[[9 6]
 [9 6]]","[[ 6  9]
 [ 4 11]]","[[ 7  8]
 [10  5]]","[[7 8]
 [6 9]]"
annotator_2,"[[14  4]
 [ 9  3]]","[[ 8 10]
 [ 7  5]]","[[18  0]
 [ 0 12]]","[[9 9]
 [9 3]]","[[ 7 11]
 [ 3  9]]","[[9 9]
 [8 4]]","[[ 6 12]
 [ 7  5]]"
annotator_3,"[[15  3]
 [ 8  4]]","[[9 9]
 [6 6]]","[[9 9]
 [9 3]]","[[18  0]
 [ 0 12]]","[[ 7 11]
 [ 3  9]]","[[11  7]
 [ 6  6]]","[[ 7 11]
 [ 6  6]]"
annotator_4,"[[ 9  1]
 [14  6]]","[[ 6  4]
 [ 9 11]]","[[ 7  3]
 [11  9]]","[[ 7  3]
 [11  9]]","[[10  0]
 [ 0 20]]","[[ 6  4]
 [11  9]]","[[ 2  8]
 [11  9]]"
annotator_5,"[[13  4]
 [10  3]]","[[ 7 10]
 [ 8  5]]","[[9 8]
 [9 4]]","[[11  6]
 [ 7  6]]","[[ 6 11]
 [ 4  9]]","[[17  0]
 [ 0 13]]","[[8 9]
 [5 8]]"
annotator_6,"[[ 7  6]
 [16  1]]","[[7 6]
 [8 9]]","[[ 6  7]
 [12  5]]","[[ 7  6]
 [11  6]]","[[ 2 11]
 [ 8  9]]","[[8 5]
 [9 8]]","[[13  0]
 [ 0 17]]"
