,Info_By_EuropePMC_Api
downloaded,True
htmllinks,https://europepmc.org/articles/PMC7794294
pdflinks,https://europepmc.org/articles/PMC7794294?pdf=render
journaltitle,Scientific reports
authorinfo,Cucco M
title,The spreading of the invasive sacred ibis in Italy.
