title	entrydescription	entryid	PlantHistoryCat1	PlantHistoryCat2	entryterm	entrywikidata	descwikidata
process	water source	DAVE.PlantMaterialHistory.57	Growth Conditions	Season	spring	Q1312	"one of the Earth's four temperate seasons, occurring between winter and summer"
process		DAVE.PlantMaterialHistory.58	Post-Harvest Treatment	EO extraction technique	steam distillation	Q1164392	
process	"one of the Earth's four temperate seasons, occurring between spring and autumn"	DAVE.PlantMaterialHistory.59	Growth Conditions	Season	summer	Q1313	"one of the Earth's four temperate seasons, occurring between spring and autumn"
process		DAVE.PlantMaterialHistory.60	Post-Harvest Treatment	EO extraction technique	supercritical co2		
process		DAVE.PlantMaterialHistory.61	Post-Harvest Treatment	EO extraction technique	supercritical extraction		
process		DAVE.PlantMaterialHistory.62	Post-Harvest Treatment	EO extraction technique	supercritical fluid extraction	Q4410204	
process		DAVE.PlantMaterialHistory.63	Post-Harvest Treatment	EO extraction technique	superheated water extraction		
process		DAVE.PlantMaterialHistory.64	Growth Conditions	Temperature	temperature	Q11466	
process		DAVE.PlantMaterialHistory.64	Growth Conditions	Temperature	temperature variation		
process		DAVE.PlantMaterialHistory.65	Plant Material Product	Plant Extract	vacuum distilled oil	Q1648382	
process		DAVE.PlantMaterialHistory.66	Plant Material Selection	Breed	variety comparision		
process	form of asexual reproduction in plants	DAVE.PlantMaterialHistory.67	Plant Life Stage		vegetative	Q464666	
process		DAVE.PlantMaterialHistory.68	Plant Material Product	Plant Extract	volatile extract		
process		DAVE.PlantMaterialHistory.69	Post-Harvest Treatment	EO extraction technique	water distillation	Q274959	
process		DAVE.PlantMaterialHistory.70	Plant Material Product	Plant Extract	wax extract		
process	"yearly period of high rainfall, especially in the tropics"	DAVE.PlantMaterialHistory.71	Growth Conditions	Season	wet season	Q3117517	"yearly period of high rainfall, especially in the tropics"
process		DAVE.PlantMaterialHistory.72	Plant Material Selection	Breed	wild breed		
process	"one of the Earth's four temperate seasons, occurring between autumn and spring"	DAVE.PlantMaterialHistory.73	Growth Conditions	Season	winter	Q1311	"one of the Earth's four temperate seasons, occurring between autumn and spring"
			Plant Life Stage		germination stage	Q193838	
			Plant Life Stage		growth stage	Q1342838	
			Plant Life Stage		pollination	Q134624	
			Plant Life Stage		seed stage	Q40763	
