Activity
herbicide
cancer preventive
allelochemic
allergenic
antiacne
antibacterial
antifeedant
antiflu
antiinflammatory
antipneumonic
antiseptic
antispasmodic
antistaphylococcic
antiviral
cancer-preventive
coleoptophile
expectorant
flavor herbicide
insecticide
insectifuge
insectiphile
irritant
p450-2b1-inhibitor
perfumery
pesticide
sedative
spasmogenic tranquilizer
transdermal
pheromone
cancer preventive
allergenic
candidicide
flavor
herbicide
perfumery pesticide
spasmogenic
antimalarial
antiplasmodial
antifungal
ache-inhibitor
acaricide
antiacetylcholinesterase
antialzheimeran
antiasthmatic antibacterial
anticancer
antiinflammatory antilithic
antilymphomic
antimutagenic
antiobesity antiseptic
antitumor
antitumor (breast) - antitumor (pancreas)
antitumor (prostate)
antiviral apoptotic
bronchoprotectant
cancer-preventive candidistat
chemopreventive
detoxicant
enterocontractant expectorant
fungiphilic
fungistat
gst-inducer
herbicide histaminic
immunomodulator
lipolytic
myorelaxant
no-genic
nematicide ornithine-decarboxylase-inhibitor
ozone-scavenger
p450-inducer
photosensitizer
acaricide
anesthetic
antiallergic
antianaphylactic
anticariogenic
anticonvulsant
antiedemic antiglutamaergic
antihistaminic
antileukemic antilymphomic
antimange
antishock
barbituate-synergist - bronchorelaxant
candidistat
culicide expectorant
fungicide
gaba-nergic
hypnotic
hypothermic insecticide
larvicide
motor-depressant
nematicide
prooxidant
termitifuge
trichomonicide
tumor-promoter
flammable
analgesic
antibacillary
antirheumatalgic
laxative pesticide
antinitrosaminic antioxidant
deodorant
chinese drug-moxa
skin penetration enhancer
antiedemic
calcium-antagonist
fungicide mycopath
antimicrobial
pesticide
pungency
ace-inhibitor acaricide aldose-reductase-inhibitor - antiacetylcholinesterase – antifeedant antioxidant insectifuge irritant perfumery pesticide
insect repellent.
allelopathic
antiacne antiallergic
antiasthmatic
antioxidant antiseptic
antitussive
antiulce bacteriostatic
diuretic
insectifuge irritant
renoirritant
spermicide
vulnerary
antilithic
antioxidant
hypocholesterolemic
insect attractant
analgesic
antitnf
antiaggregant
antiarachidonate
antibacteria
anticonvulsant antiedemic
antiestrogenic
antigenotoxic
antiherpetic
antikeratotic
antimitotic
antinitrosating
antiprostaglandin antipyretic
antiradicular
antisalmonella
antiseptic antispasmodic
antithromboxane antitumor
antiulcer
apifuge
cns-depressant
cox-1-inhibitor
cox-2-inhibitor
carcinogenic
carminative choleretic
cytochrome-p450-inhibitor
cytotoxic
dermatitigenic enterorelaxant
hepatoprotective
herbicide insecticide
juvabional
larvicide motor-depressant
neurotoxic
prostaglandin synthesis-inhibitor
termiticide
trichomonistat trypsin-enhancer
ulcerogenic
varroacide
vasodilator vermifuge
insect repelllent
antimicrobial
antifungal
antidiarrheic antidysenteric
antiemetic
antifibrositic antineuralgic
antipruritic
cns-stimulant
carminative
convulsant
cosmetic
counterirritant
decongestant
deliriant
ecbolic emetic
epileptigenic
herbicide insect-repellent
occuloirritant
respirainhibitor
respirastimulant rubefacient
stimulant
verrucolytic
vibriocide
antileishmanial activity
under testing as a skin penetration enhancer for the transdermal delivery of therapeutic drugs
was evaluated against leishmania species. nerolidol inhibited the growth of leishmania amazonensis
l. braziliensis
and l. chagasi promastigotes and l. amazonensis amastigotes
antimalarial
anti-tumor
mosquito attractant
pheromone
antihistaminic antiseptic
flavor fungicide
glaucomagenic
prostatitigenic
sedative teratogenic
tyrosinase-inhibito
skin healing properties-anti-irritant
anti-inflammatory and anti-microbial
for preparation of vitamins e and k1
secreted by insect for defence
antioxidant
vitamin a stabiliser
lipid anchor in biomembranes
fragrance
dermatitigenic
abortifacient
antirhinoviral
stomachic
antialzheimeran
anticholinesterase
secretolytic
used in traditional chinese medicine
bactericidal
fungicidal activity
mild carcinogenic
used in manufacture of mdma(ecstasy)
transdermal
spasmogenic
tumor-promoter
vibriocide
vulnerary
vasodilator vermifuge
insect repelllent
insecticide
ACE-Inhibitor Acaricide Aldose-Reductase-Inhibitor - Antiacetylcholinesterase ? Antifeedant Antioxidant Insectifuge Irritant Perfumery Pesticide
