211,72,33,8,6,0,1,0,1,1
144,57,29,7,3,3,1,0,0,0
100,46,30,8,6,1,0,2,1,0
82,42,15,3,3,3,0,0,0,0
63,29,14,1,2,3,1,1,0,1
70,39,17,2,0,2,2,0,0,0
77,34,15,1,1,3,2,1,0,0
60,26,9,1,0,1,2,0,0,0
62,29,11,2,1,4,2,0,0,1
56,25,11,0,1,0,0,0,0,0
42,18,11,1,2,1,1,0,0,0
41,15,9,1,0,1,0,0,0,0
38,19,13,0,1,0,0,0,1,0
46,17,12,0,2,2,0,1,0,0
28,10,11,0,0,1,1,0,0,0
42,19,7,1,1,2,1,0,0,1
34,17,6,0,1,1,1,0,0,0
34,21,4,1,0,0,2,0,0,0
23,10,3,0,0,1,0,0,1,0
35,16,9,1,1,0,0,0,0,0
36,24,8,1,0,0,1,1,0,0
35,10,7,0,0,0,1,0,1,0
32,16,1,0,0,0,1,0,0,0
26,11,5,2,1,0,0,0,0,0
32,15,5,0,0,1,0,0,0,0
