Activity
antibacterial
abortifacient
acaricide
acaricide 
ace-inhibitor 
ache-inhibitor
aldose-reductase-inhibitor
allelochemic
allelopathic
allergenic
analgesic
anesthetic
anti-inflammatory
anti-irritant
anti-microbial
anti-tnf
anti-tumor
antiacetylcholinesterase
antiacetylcholinesterase 
antiacne
antiacne 
antiaggregant
antiallergic
antialzheimeran
antianaphylactic
antiarachidonate
antiasthmatic
antibacillary
antibacteria
anticancer
anticariogenic
anticholinesterase
anticonvulsant
anticonvulsant 
antidiarrheic 
antidysenteric
antiedemic
antiedemic 
antiemetic
antiestrogenic
antifeedant
antifibrositic 
antiflu
antifungal
antigenotoxic
antiglutamaergic
antiherpetic
antihistaminic
antihistaminic 
antiinflammatory
antiinflammatory 
antikeratotic
antileishmanial activity
antileukemic 
antilithic
antilymphomic
antimalarial
antimange
antimicrobial
antimitotic
antimutagenic
antineuralgic
antinitrosaminic 
antinitrosating
antiobesity 
antioxidant
antioxidant 
antiplasmodial
antipneumonic
antiprostaglandin 
antipruritic
antipyretic
antiradicular
antirheumatalgic
antirhinoviral
antisalmonella
antiseptic
antiseptic 
antishock
antispasmodic
antistaphylococcic
antithromboxane 
antitumor
antitumor (breast)
antitumor (pancreas)
antitumor (prostate)
antitussive
antiulcer
antiviral
antiviral 
apifuge
apoptotic
bactericidal
bacteriostatic 
barbituate-synergist
bronchoprotectant
bronchorelaxant
calcium-antagonist
cancer-preventive
cancer-preventive 
candidicide
candidistat
carcinogenic
carminative
carminative 
chemopreventive
choleretic
cns-depressant
cns-stimulant
coleoptophile
convulsant
cosmetic
counterirritant
cox-1-inhibitor
cox-2-inhibitor
culicide
cytochrome-p450-inhibitor
cytotoxic
decongestant
deliriant
deodorant
dermatitigenic
detoxicant
diuretic
ecbolic
emetic
enterocontractant 
epileptigenic
expectorant
flammable
flavor
flavor 
herbicide
fragrance
fungicidal activity
fungicide
fungiphilic
fungistat
gaba-nergic
glaucomagenic
gst-inducer
hepatoprotective
herbicide 
histaminic
hypnotic
hypocholesterolemic
hypothermic insecticide
immunomodulator
insect repellent.
insect repelllent
insect-attractant
insect-repellent
insecticide
insectifuge
insectifuge irritant
insectiphile
irritant
irritant 
juvabional
larvicide
larvicide 
laxative 
lipolytic
mild carcinogenic
mosquito attractant
motor-depressant
myorelaxant
nematicide
nematicide 
neurotoxic
no-genic
occuloirritant
ornithine-decarboxylase-inhibitor
ozone-scavenger
p450-2b1-inhibitor
p450-inducer
perfumery
pesticide
pheromone
photosensitizer
prooxidant
prostaglandin synthesis-inhibitor
prostatitigenic
pungency
renoirritant
respirainhibitor
respirastimulant 
rubefacient
secretolytic
sedative
sedative 
skin-healing
skin-penetration
spasmogenic
spasmogenic 
spermicide
stimulant
stomachic
teratogenic
termiticide
termitifuge
tranquilizer
transdermal
trichomonicide
trichomonistat
trypsin-enhancer
tumor-promoter
tyrosinase-inhibito
ulcerogenic
varroacide
vasodilator 
vermifuge
verrucolytic
vibriocide
vitamin A stabiliser
vulnerary
