140,75,27,5,5,0,2,0,1,1
130,68,24,4,4,0,2,0,1,0
79,50,18,3,3,0,2,0,1,0
70,38,20,5,2,0,2,1,1,0
45,17,9,1,2,1,1,0,0,0
49,27,4,0,1,0,0,0,0,0
37,18,7,1,1,0,0,0,0,0
32,12,7,2,1,1,1,0,0,0
36,17,8,1,1,0,0,1,0,0
32,21,8,2,0,1,1,0,0,0
31,22,5,0,1,0,0,0,1,0
28,13,4,0,1,1,1,0,0,0
30,12,1,2,0,0,0,0,1,0
27,15,6,0,1,0,0,0,0,0
21,7,1,0,0,0,0,0,0,0
31,11,5,0,2,0,0,0,0,0
26,10,7,2,1,0,0,0,0,0
26,14,3,0,0,0,0,0,1,0
24,8,6,1,2,0,0,1,1,0
24,6,1,0,0,0,0,0,0,0
17,4,5,0,1,0,0,0,0,0
22,4,4,2,0,0,0,0,0,0
27,16,4,0,0,0,0,0,0,0
24,7,5,2,1,0,0,0,0,0
20,11,5,2,1,0,0,0,0,0
