,annotator_0,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5,annotator_6
annotator_0,"[[24  0]
 [ 0  6]]","[[12 12]
 [ 4  2]]","[[16  8]
 [ 5  1]]","[[ 5 19]
 [ 1  5]]","[[ 6 18]
 [ 3  3]]","[[12 12]
 [ 2  4]]","[[ 6 18]
 [ 3  3]]"
annotator_1,"[[12  4]
 [12  2]]","[[16  0]
 [ 0 14]]","[[13  3]
 [ 8  6]]","[[ 4 12]
 [ 2 12]]","[[ 6 10]
 [ 3 11]]","[[9 7]
 [5 9]]","[[ 2 14]
 [ 7  7]]"
annotator_2,"[[16  5]
 [ 8  1]]","[[13  8]
 [ 3  6]]","[[21  0]
 [ 0  9]]","[[ 5 16]
 [ 1  8]]","[[ 8 13]
 [ 1  8]]","[[10 11]
 [ 4  5]]","[[ 8 13]
 [ 1  8]]"
annotator_3,"[[ 5  1]
 [19  5]]","[[ 4  2]
 [12 12]]","[[ 5  1]
 [16  8]]","[[ 6  0]
 [ 0 24]]","[[ 3  3]
 [ 6 18]]","[[ 4  2]
 [10 14]]","[[ 0  6]
 [ 9 15]]"
annotator_4,"[[ 6  3]
 [18  3]]","[[ 6  3]
 [10 11]]","[[ 8  1]
 [13  8]]","[[ 3  6]
 [ 3 18]]","[[ 9  0]
 [ 0 21]]","[[ 6  3]
 [ 8 13]]","[[ 3  6]
 [ 6 15]]"
annotator_5,"[[12  2]
 [12  4]]","[[9 5]
 [7 9]]","[[10  4]
 [11  5]]","[[ 4 10]
 [ 2 14]]","[[ 6  8]
 [ 3 13]]","[[14  0]
 [ 0 16]]","[[ 3 11]
 [ 6 10]]"
annotator_6,"[[ 6  3]
 [18  3]]","[[ 2  7]
 [14  7]]","[[ 8  1]
 [13  8]]","[[ 0  9]
 [ 6 15]]","[[ 3  6]
 [ 6 15]]","[[ 3  6]
 [11 10]]","[[ 9  0]
 [ 0 21]]"
