invasive_plant,count
Alliaria petiolata,21
Prosopis,20
Phragmites australis,19
Prosopis juliflora,14
Eichhornia crassipes,13
Parthenium hysterophorus,13
Impatiens glandulifera,12
Bromus tectorum,11
Ageratina adenophora,10
Lantana camara,8
Alliaria petiolata,,8
Mikania micrantha,8
Microstegium vimineum,7
Spartina alterniflora,7
Alternanthera philoxeroides,7
Triadica sebifera,6
common reed,6
Nicotiana glauca,6
Bromus tectorum,,5
Bidens pilosa,5
Cenchrus ciliaris,5
Lythrum salicaria,5
Cabomba caroliniana,5
Chromolaena odorata,5
Senecio inaequidens,4
Carduus nutans,4
Buffel grass,4
Cirsium arvense,4
Pinus,4
Myriophyllum spicatum,4
Najas minor,4
mangium,4
Nymphoides peltata,4
Trifolium repens,4
Spathodea campanulata,4
Potamogeton crispus,4
cheatgrass,4
common reed,,3
Solanum sisymbriifolium,3
Ageratina adenophora,,3
Frangula alnus,3
Microstegium vimineum.,3
Celastrus orbiculatus,3
Rumex acetosella,3
Ageratina adenophora.,3
Rosa multiflora,3
Acer platanoides,3
Robinia pseudoacacia,3
Carpobrotus edulis,3
Cyperus rotundus,3
Opuntia stricta,3
Alliaria petiolata.,3
Berberis thunbergii,3
Imperata cylindrica.,3
Melaleuca quinquenervia,3
daisy,3
Hydrilla verticillata,3
Acacia mangium,3
Cirsium vulgare,3
Cenchrus ciliaris,,3
Pistia stratiotes,3
Mimosa pigra,3
Myriophyllum spicatum,,3
Verbascum thapsus,3
Sphagneticola trilobata,3
Downy Brome,2
Cortaderia selloana,2
Acacia saligna,2
Microstegium vimineum,,2
Eichhornia crassipes.,2
Opuntia ficus-indica,2
Ipomoea aquatica,2
foxtail,2
Sonchus oleraceus,2
Jacobaea vulgaris,2
Sonchus asper,2
Ageratina adenophora;,2
Gunnera tinctoria,2
Zizania latifolia,2
Agrostis gigantea,2
medicinal plant,2
Ailanthus altissima,2
Cabomba caroliniana,,2
Hieracium aurantiacum,2
Cynoglossum officinale,2
Pittosporum undulatum,2
Poa annua,,2
loosestrife,2
Buffel grass,,2
Psidium guajava,2
Prosopis juliflora,,2
Glyceria maxima,2
Butomus umbellatus,2
Frangula alnus,,2
Lantana camara,,2
Parthenium hysterophorus,,2
Leucaena leucocephala,2
Robinia pseudoacacia.,2
Rumex obtusifolius,2
Phragmites australis,,2
Celastrus orbiculatus,,2
Poa pratensis,2
Clidemia hirta,2
Tussilago farfara,2
Casuarina equisetifolia,2
Eurasian watermilfoil,2
olive,2
Alnus glutinosa,2
water lettuce,2
Impatiens glandulifera.,2
Hydrocharis morsus-ranae,,2
Impatiens glandulifera,,2
Ambrosia artemisiifolia,2
Alternanthera philoxeroides,,2
Myriophyllum aquaticum,2
Lonicera japonica,2
Prosopis glandulosa,1
Microstegium vimineum;,1
Vinca major,1
Ipomoea cairica,1
Cenchrus setaceus,1
Solanum sisymbriifolium,,1
Austroeupatorium inulifolium,1
Melaleuca quinquenervia,,1
Rhamnus cathartica,,1
Eichhornia crassipes,,1
Phragmites communis,1
Bromus tectorum.,1
Cryptostegia madagascariensis,1
Elaeagnus umbellata,,1
Acacia mangium,,1
Acacia mangium.,1
Trifolium repens,,1
Chromolaena odorata,,1
Canada thistle,1
Annona glabra,1
Giant salvinia,1
Rhododendron ponticum,1
Lespedeza cuneata,1
Ricinus communis,1
Schinus terebinthifolius,1
Cytisus scoparius,1
Hypericum perforatum,1
Spartina anglica,1
Butomus umbellatus,,1
Carduus nutans.,1
Giant sensitive plant,1
Glyceria maxima,,1
Berberis thunbergii,,1
ragwort,1
Himalayan Balsam,,1
Stellaria media,1
Guava,1
Phalaris arundinacea,,1
Holcus lanatus,1
Asiatic bittersweet,,1
Cyperus rotundus,,1
Verbascum thapsus,,1
Verbascum thapsus.,1
Ulex europaeus,1
Imperata cylindrica,1
Ambrosia artemisiifolia,,1
Phragmites australis?,1
Falcataria moluccana.,1
Hypochaeris radicata,1
Parthenium hysterophorus.,1
Poa pratensis,,1
Water Hyacinth,,1
Centaurea diffusa,1
Egeria densa,1
Phalaris arundinacea,1
Macfadyena unguis-cati,1
Rhamnus cathartica,1
Imperata cylindrica,,1
Centaurea melitensis,1
Tithonia diversifolia,,1
pines,1
Pueraria montana var. lobata,,1
Phragmites australis.,1
lead tree,1
Agrostis gigantea,,1
Terminalia catappa,1
Opuntia ficus-indica,,1
Ambrosia artemisiifolia.,1
Multiflora Rose.,1
Mikania micrantha.,1
Alnus glutinosa,,1
Mikania micrantha,,1
Tamarisk,1
Typha latifolia,1
Water Hyacinth,1
Bidens pilosa,,1
Najas minor,,1
Brassica tournefortii,1
Salvinia molesta,1
Erodium cicutarium,1
Chinese Tallow,1
Spathodea campanulata.,1
Multiflora Rose,1
Heliotropium curassavicum,1
Spathodea campanulata,,1
Hieracium pilosella,1
Rubus alceifolius,1
Heliotropium curassavicum,,1
Rosa multiflora.,1
Poa annua,1
Lythrum salicaria,,1
bull thistle,1
Lythrum salicaria.,1
Cynara cardunculus,1
Cinnamomum,1
Senecio vulgaris,1
Rubus armeniacus,1
Alternanthera philoxeroides.,1
Lonicera maackii,,1
Rumex acetosella,,1
Hydrocharis morsus-ranae,1
Rumex acetosella.,1
Piper aduncum,1
