plant_compound,count
thymol,73
carvacrol,57
eugenol,52
caryophyllene,45
geraniol,38
p-cymene,37
hexane,36
sabinene,26
n-hexane,24
acetone,23
myrcene,22
camphene,22
citral,20
spathulenol,15
humulene,14
clove oil,13
coumarin,12
viridiflorol,9
safrole,8
benzene,8
o-cymene,7
salicylic acid,7
neral,7
linoleic acid,7
anethole,7
terpinolene,7
guaiol,7
allo-aromadendrene,7
(E)-cinnamaldehyde,7
vanillin,7
pulegone,6
nerol,6
geranial,6
Ledol,5
salicylic acid,,5
globulol,5
piperitenone,5
toluene,5
chavicol,4
cinnamic acid,4
pinocarvone,4
myrtenal,4
acetophenone,4
methyl salicylate,,4
benzaldehyde,4
Curzerene,4
Zingiberene,4
acetic acid,4
longifolene,4
myrtenyl acetate,3
guaiacol,3
myristicin,3
isopropanol,3
3-octanone,3
cyclohexanone,3
acetic acid,,3
squalene,3
methyl benzoate,3
clove oil;,3
methyl salicylate,3
intermedeol,3
cannabidiol,3
Cyperene,2
Theaspirane,2
tridecane,2
Cembrene,2
methyl anthranilate,,2
4-ethylphenol,2
cubebol,2
apiole,2
benzoic acid,,2
cinnamic acid,,2
cis-linalool oxide,2
tricyclene,2
benzyl alcohol,,2
Atractylone,2
epiglobulol,2
salicylic acid;,2
cannabichromene,2
perillene,2
decanoic acid,2
2-tridecanone,2
estragole,2
octane,2
carveol,2
benzyl acetate,2
valerenic acid,2
petroselinic acid,2
alpha-terpineol,2
creosol,2
isobornyl formate,2
linoleic acid,,2
clove oil.,2
biphenyl,2
hydroquinone,2
cedrol,2
benzyl benzoate,2
neryl propionate,2
phenylethyl alcohol,,2
furfural,1
(-)-linalool,1
pentyl acetate,1
eicosane,1
hexanal,1
hexyl butanoate,1
Cyperotundone,1
hexyl hexanoate,1
Nootkatol,1
6-methyl-5-hepten-2-one,1
cyclohexanol,1
thujopsene,1
1-octen-3-yl acetate,1
benzyl acetate,,1
bisabolol,1
benzyl alcohol,1
formamide,1
dihydroagarofuran,1
propyl disulfide,1
safranal,1
chavibetol,1
phenylacetaldehyde,1
benzoic acid,1
anisole,1
dihydrocarvone,1
pellitorine,1
methyl benzoate,,1
2-methoxy-4-vinylphenol,1
methyl isobutyl ketone,1
methyl dodecanoate,1
tetrahydrocannabinol,1
benzothiazole,1
methyl stearate,1
friedelin,1
methyl oleate,1
Alismol,1
geranyl formate,1
prenyl acetate,1
acetic acid.,1
1-pentadecene,1
pinocarveol,1
alpha-linolenic acid,1
heptanal,1
quinoline,1
premnaspirodiene,1
p-cymen-8-ol,1
methyl sulfide,1
verbenone,1
methyl palmitate,1
dihydrocarveol,1
agarospirol,1
linalyl isovalerate,1
clove oil,,1
butyric acid,1
geranyl isovalerate,1
wintergreen oil,,1
Umbellulone,1
isopropyl alcohol,1
hexyl acetate,1
isobornyl formate,,1
butanoic acid,,1
nonane,1
decanal,1
geranyl isovalerate,,1
butyl butanoate,1
methyl hexadecanoate,1
chamazulene,1
