funders,count
World Health Organization,124
National Natural Science Foundation of China,83
Merck,78
National Institute of Standards and Technology,57
Food and Drug Administration,55
Orange,51
United Nations,46
Royal Society,43
Research and Development,42
Agilent Technologies,42
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,42
Agilent Technologies,,38
Microsoft,38
Conselho Nacional de Desenvolvimento Científico e Tecnológico,37
EDS,36
SAS Institute,34
American Chemical Society,29
National Academy of Sciences,27
Ministry of Health,27
European Commission,23
King Saud University,23
Chinese Academy of Sciences,22
National Institutes of Health,22
Thermo Scientific,22
Department of Health,21
Roche,21
European Parliament,21
Ministry of Education,,20
Ministry of Science and Technology,19
Shell,19
Thermo Scientific,,19
National Research Foundation,19
Environmental Protection Agency,18
EMBO,18
Bayer,17
World Health Organization.,17
Hitachi,13
Ministry of Higher Education,13
University of California,,13
Islamic Azad University,12
Ministry of Education,12
American Chemical Society.,12
Centers for Disease Control and Prevention,11
Universiti Putra Malaysia,11
Islamic Azad University,,11
College of Pharmacy,,11
U.S. Food and Drug Administration,11
Chinese Academy of Sciences,,11
World Health Organization,,11
School of Medicine,,11
WILEY,11
Agricultural Research Service,10
American Chemical Society,,10
Health Research,10
United Nations,,9
King Saud University,,9
Tabriz University of Medical Sciences,9
Food and Drug Administration,,9
Medical Research Council,9
Philips,9
Cairo University,,8
United Nations.,8
Chiang Mai University,8
Urmia University,,8
National Science Foundation,8
Fundação de Amparo à Pesquisa do Estado de São Paulo,8
Universiti Putra Malaysia,,8
Alltech,8
China Agricultural University,7
Seventh Framework Programme,7
European Commission,,7
Kerman University of Medical Sciences,,7
Oregon State University,7
Engineering Laboratory,7
BASF,7
Tyson,6
U.S. Department of Agriculture,6
National Renewable Energy Laboratory,6
University of Missouri,6
Harvard University,6
Consejo Nacional de Ciencia y Tecnología,6
International Atomic Energy Agency,6
Shiraz University,6
U.S. Department of Agriculture,,6
Wageningen University,6
Fundação Cearense de Apoio ao Desenvolvimento Científico e Tecnológico,6
Mashhad University of Medical Sciences,6
University of Jordan,6
Ministry of the Environment,6
University of Jordan,,6
European Research Council,6
SAS Institute,,6
Shahrekord University,5
Ministry of Research and Innovation,5
Office of Science,5
Shandong University,5
Faculty of Pharmacy, Cairo University,,5
Chinese Academy of Sciences.,5
Universidad de Santiago de Chile,,5
Zhejiang University,5
Biotechnology and Biological Sciences Research Council,5
National Agriculture and Food Research Organization,5
AACC International,5
National Academy of Sciences.,5
University of Florida,5
Cargill,5
American Heart Association,5
Fundação de Apoio ao Desenvolvimento do Ensino, Ciência e Tecnologia do Estado de Mato Grosso do Sul,5
UNICEF,5
European Society of Clinical Microbiology and Infectious Diseases,5
EMC,5
Chinese Academy of Forestry,5
Boeing,5
AMX,5
National Health and Medical Research Council,5
National Institute of Standards and Technology.,5
Urmia University,5
Ministry of Health,,5
Deutsche Forschungsgemeinschaft,5
Mashhad University of Medical Sciences,,5
