,annotator_0,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5,annotator_6
annotator_0,"[[19  0]
 [ 0 11]]","[[13  6]
 [ 2  9]]","[[15  4]
 [ 8  3]]","[[ 6 13]
 [ 5  6]]","[[11  8]
 [ 5  6]]","[[ 9 10]
 [ 5  6]]","[[ 5 14]
 [ 2  9]]"
annotator_1,"[[13  2]
 [ 6  9]]","[[15  0]
 [ 0 15]]","[[11  4]
 [12  3]]","[[ 7  8]
 [ 4 11]]","[[ 6  9]
 [10  5]]","[[8 7]
 [6 9]]","[[ 4 11]
 [ 3 12]]"
annotator_2,"[[15  8]
 [ 4  3]]","[[11 12]
 [ 4  3]]","[[23  0]
 [ 0  7]]","[[ 8 15]
 [ 3  4]]","[[11 12]
 [ 5  2]]","[[13 10]
 [ 1  6]]","[[ 5 18]
 [ 2  5]]"
annotator_3,"[[ 6  5]
 [13  6]]","[[ 7  4]
 [ 8 11]]","[[ 8  3]
 [15  4]]","[[11  0]
 [ 0 19]]","[[ 7  4]
 [ 9 10]]","[[ 5  6]
 [ 9 10]]","[[ 4  7]
 [ 3 16]]"
annotator_4,"[[11  5]
 [ 8  6]]","[[ 6 10]
 [ 9  5]]","[[11  5]
 [12  2]]","[[ 7  9]
 [ 4 10]]","[[16  0]
 [ 0 14]]","[[7 9]
 [7 7]]","[[ 4 12]
 [ 3 11]]"
annotator_5,"[[ 9  5]
 [10  6]]","[[8 6]
 [7 9]]","[[13  1]
 [10  6]]","[[ 5  9]
 [ 6 10]]","[[7 7]
 [9 7]]","[[14  0]
 [ 0 16]]","[[ 3 11]
 [ 4 12]]"
annotator_6,"[[ 5  2]
 [14  9]]","[[ 4  3]
 [11 12]]","[[ 5  2]
 [18  5]]","[[ 4  3]
 [ 7 16]]","[[ 4  3]
 [12 11]]","[[ 3  4]
 [11 12]]","[[ 7  0]
 [ 0 23]]"
