plant_compound,count
carvacrol,304
thymol,293
eugenol,175
p-cymene,154
caryophyllene,146
acetone,125
hexane,111
geraniol,97
linoleic acid,87
n-hexane,86
myrcene,83
citral,74
sabinene,72
acetic acid,70
camphene,62
terpinolene,50
spathulenol,40
cinnamic acid,36
pulegone,34
humulene,33
clove oil,33
coumarin,32
viridiflorol,32
neral,31
cannabidiol,31
geranial,30
salicylic acid,30
linoleic acid,,29
chavicol,29
estragole,26
safrole,23
benzoic acid,23
piperitenone,22
benzene,21
acetic acid,,20
toluene,20
chamazulene,19
anethole,17
quinoline,17
o-cymene,17
benzaldehyde,16
arginine,15
isopropanol,15
guaiacol,14
myristic acid,13
myristicin,13
verbenone,13
vanillin,13
squalene,11
(E)-cinnamaldehyde,11
apiole,10
cinnamic acid,,10
Ledol,10
guaiol,10
pinocarvone,9
terpinene,9
benzoic acid,,9
tyrosol,9
globulol,9
Hinesol,9
octyl acetate,8
methyl salicylate,,8
nerol,8
longifolene,8
Zingiberene,8
valerenic acid,8
benzophenone,8
benzyl benzoate,8
cuminaldehyde,7
myrtenal,7
salicylic acid,,7
allo-aromadendrene,7
octyl acetate,,7
methyl salicylate,7
tetrahydrocannabinol,7
p-cymen-8-ol,7
furfural,6
acetaldehyde,6
zingerone,6
safranal,6
cannabichromene,6
palmitoleic acid,6
naphthalene,6
leptospermone,6
valencene,6
myristic acid,,6
clove oil.,6
biphenyl,6
hydroquinone,6
decanal,6
butanoic acid,5
cis-linalool oxide,5
(E)-cinnamyl acetate,5
linoleic acid.,5
butyric acid,5
Cyperene,5
pyridine,5
bornyl formate,5
2-undecanone,5
nonacosane,5
carveol,5
alpha-terpineol,5
hexanal,4
bisabolol,4
azulene,4
anisole,4
salicylic acid;,4
decanoic acid,4
methyl oleate,4
geranyl formate,4
alpha-linolenic acid,4
methyl palmitate,4
palmitoleic acid,,4
cedrol,4
bergapten,4
6-methyl-5-hepten-2-one,4
benzyl isothiocyanate,4
benzyl alcohol,4
1-octanol,4
hentriacontane,4
tricyclene,4
perillyl alcohol,4
benzyl alcohol,,4
carotol,4
acetophenone,4
manool,4
arachidic acid,,4
isopropyl myristate,4
campesterol,4
p-anisaldehyde,4
agarospirol,4
clove oil,,4
heptacosane,4
geranyl formate,,3
(-)-linalool,3
(Z)-jasmone,3
methyl anthranilate,,3
thujopsene,3
methyl mercaptan,,3
Eucarvone,3
curcumol,3
pyrazine,3
affinin,3
cyclohexane,3
angelicin,3
flavesone,3
Theaspirane,3
methyl mercaptan,3
methyl octanoate,3
cumene,3
Atractylone,3
Chrysanthenone,3
tetracosane,3
dihydrocarvone,3
caprylic acid,,3
2-methoxy-4-vinylphenol,3
hexyl butyrate,3
methyl stearate,3
nonanoic acid,3
ferruginol,3
clove oil;,3
isobornyl formate,3
dihydrocarveol,3
isophytol,3
neryl propionate,3
hexacosane,3
