PMCID	method	method_WIKIPEDIA	method_section_1	method_section_2	analysis_1	analysis_1_WIKIPEDIA	analysis_section_1	analysis_2	analysis_2_WIKIPEDIA	analysis_section_2
PMC5454990	hydrodistillation	Steam_distillation	Essential Oil Extraction		GC-MS	Gas_chromatography–mass_spectrometry	Gas Chromatographic-Mass Spectral Analysis			
PMC5485486	hydrodistillation	Steam_distillation	Extraction of the Essential Oil		GC-FID	Flame_ionization_detector	GC-MS	GC-MS	Gas_chromatography–mass_spectrometry	
PMC5486035	hydrodistillation	Steam_distillation	Plant Material and Isolation of Essential Oil		GC-FID	Flame_ionization_detector	GC/MS Analysis	GC-MS	Gas_chromatography–mass_spectrometry	
PMC5497343	hydro-distillation	Steam_distillation	Extraction of essential oil		GC-MS	Gas_chromatography–mass_spectrometry	Gas chromatography mass spectrometry (GC-MS)			
PMC5507808	hydro-distillation	Steam_distillation	Essential Oil Extraction		GC–MS	Gas_chromatography–mass_spectrometry	Gas Chromatography-Mass Spectrometry Analysis			
PMC5524814	hydrodistillation	Steam_distillation	Essential oil isolation		GC-FID	Flame_ionization_detector	GC-FID and GC-MS analysis	GC-MS	Gas_chromatography–mass_spectrometry	
PMC5527698	hydrodistillation	Steam_distillation	Essential oils extraction		GC-MS	Gas_chromatography–mass_spectrometry	Chemical analysis of essential oil			
PMC5535876										
PMC5543433	steam distillation	Steam_distillation	Essential oil extraction							
PMC5546729					GC-MS	Gas_chromatography–mass_spectrometry	Gas chromatography-mass spectrometry			
PMC5551175	hydrodistillation	Steam_distillation	Isolation of Essential Oil		GC-MS	Gas_chromatography–mass_spectrometry	Gas Chromatography-Mass Spectrometry (GC-MS) Analysis of Essential Oils	GC-MS	Gas_chromatography–mass_spectrometry	
PMC5568258	hydrodistillation	Steam_distillation	Plant material and essential oil extraction		GC-MS	Gas_chromatography–mass_spectrometry	Identification of essential oil constituents	GC-FID	Flame_ionization_detector	
PMC5569441	hydrodistillation	Steam_distillation	Preparation of oil		GC-MS	Gas_chromatography–mass_spectrometry	Gas chromatography-mass spectrometry (GC-MS) analysis			
PMC5575638	hydrodistillation	Steam_distillation	Allium sativum	Allium vineale	GC-MS	Gas_chromatography–mass_spectrometry	Gas Chromatography-Mass Spectrometry (GC-MS)	GC-MS	Gas_chromatography–mass_spectrometry	
PMC5577677										
PMC5585972					GC-MS	Gas_chromatography–mass_spectrometry	Chromatographic analysis			
PMC5590060	hydrodistillation	Steam_distillation	Plant Sample		GC-MS	Gas_chromatography–mass_spectrometry	Gas Chromatography-Mass Spectrometry (GC-MS)			
PMC5590062	hydrodistillation	Steam_distillation	Extraction of the Essential Oil		GC-MS	Gas_chromatography–mass_spectrometry	GC-MS Analysis			
PMC5590063	hydrodistillation	Steam_distillation	Extraction of Essential Oils		GC-MS	Gas_chromatography–mass_spectrometry	Chromatography Analyses			
PMC5590065	hydro-distillation	Steam_distillation	Plant Sample		GC-MS	Gas_chromatography–mass_spectrometry	Gas Chromatography-Mass Spectrometry (GC-MS)			
PMC5590066	water-distillation	Steam_distillation	EO Extraction		GC-MS	Gas_chromatography–mass_spectrometry	Gas Chromatography Coupled with Mass Spectrometry Analysis (GC-MS)			
PMC5590067	hydro-distillation	Steam_distillation	Plant Material		GC-MS	Gas_chromatography–mass_spectrometry	Analysis of Essential Oil			
