binomial,count
Staphylococcus aureus,127
Escherichia coli,97
Pseudomonas aeruginosa,71
Candida albicans,63
Rosmarinus officinalis,38
Mentha piperita,35
Bacillus cereus,28
Thymus vulgaris,27
Staphylococcus epidermidis,27
Bacillus subtilis,26
Origanum vulgare,25
Aspergillus niger,25
Syzygium aromaticum,25
Nigella sativa,24
Salvia officinalis,24
Enterococcus faecalis,22
Melissa officinalis,21
Aspergillus flavus,21
Ocimum basilicum,20
Botrytis cinerea,19
Listeria monocytogenes,19
Aedes aegypti,17
Cinnamomum zeylanicum,17
E. coli,17
Culex quinquefasciatus,15
Fusarium graminearum,14
Cymbopogon citratus,14
Moringa peregrina,13
Allium sativum,13
Citrus aurantium,13
Tagetes minuta,12
Candida tropicalis,12
Lavandula angustifolia,12
Plectranthus amboinicus,12
Origanum majorana,11
Streptococcus pyogenes,11
Foeniculum vulgare,11
Salmonella typhimurium,11
Pimpinella anisum,11
Colletotrichum acutatum,10
Candida glabrata,10
Saccharomyces cerevisiae,10
Lavandula officinalis,10
Dermatophagoides farinae,9
Ocimum sanctum,9
Dermatophagoides pteronyssinus,9
Curcuma longa,9
Rhaponticum carthamoides,9
Tribolium castaneum,9
Anethum sowa,8
Achillea millefolium,8
Alternaria alternata,8
Osmanthus fragrans,8
Colletotrichum gloeosporioides,8
Siparuna guianensis,8
Terminalia ferdinandiana,8
Ae. aegypti,8
Chrysichthys nigrodigitatus,8
Tenebrio molitor,8
Cyperus rotundus,8
Ruta chalepensis,8
Tanacetum vulgare,8
Fusarium oxysporum,8
Culex pipiens,8
Staphylococcus typhimurium,8
Mentha suaveolens,8
S. aureus,8
Klebsiella pneumoniae,8
Citrus sinensis,7
Salvia blancoana,7
Thymus bovei,7
Mentha spicata,7
Tetraclinis articulata,7
Citrus limonum,7
Ocimum gratissimum,7
Citrus aurantifolia,7
Cymbopogon martinii,7
Salmonella enterica,7
Pittosporum tobira,7
Hepsetus odoe,7
Myracrodruon urundeuva,7
Pelargonium roseum,7
Trypanosoma cruzi,7
Cupressus citriodora,7
Eucalyptus globulus,7
Anticarsia gemmatalis,7
Monilinia fructicola,7
Origanum compactum,7
Acorus calamus,7
Ocimum micranthum,7
Teucrium polium,7
Lannea kerstingii,7
Aframomum danielli,7
Commiphora gileadensis,7
Salmonella enteritidis,6
Haematostaphis barteri,6
Salvia mirzayanii,6
Sitophilus zeamais,6
Eryngium foetidum,6
Piper nigrum,6
Cupressus macrocarpa,6
Fusarium sporotrichioides,6
Satureja hortensis,6
An. stephensi,6
M. alternifolia,6
Salmonella typhi,6
Penicillium expansum,6
Allium vineale,6
Ixodes ricinus,6
Avicennia schaueriana,6
Aloysia citriodora,6
Pistacia vera,6
Satureja macrostema,6
Siparuna frugiperda,6
Ferula tingitana,6
Cx. quinquefasciatus,6
Melaleuca alternifolia,6
Hedyosmum brasiliense,6
Haemonchus contortus,6
Microsporum canis,6
Pinus sylvestris,6
Artemia salina,6
Leishmania amazonensis,6
Trichomonas gallinae,6
Citrus limon,6
Rhizopus stolonifer,6
Cleistocalyx operculatus,6
Protium heptaphyllum,6
Serratia marcescens,6
C. albicans,6
Cx. pipiens,6
Calocedrus sempervirens,5
Deracocephalum moldavica,5
Zataria multiflora,5
Echinops giganteus,5
Blepharocalyx salicifolius,5
Spodoptera littoralis,5
Dracocephalum kotschyi,5
Candida krusei,5
Nepeta cataria,5
Anisakis simplex,5
Wollemia nobilis,5
Calocedrus decurrens,5
Rudbeckia triloba,5
Zanthoxylum acanthopodium,5
Aeollanthus suaveolens,5
Conyza dioscoridis,5
Psidium guineense,5
Anthemis nobile,5
Conradina canescens,5
Echinops ilicifolius,5
Kundmannia anatolica,5
Protium amazonicum,5
Ziziphora tenuior,5
Trichomonas vaginalis,5
Pistacia lentiscus,5
Clausena anisata,5
Cinnamomum cassia,5
Cucurbita maxima,5
Lippia alba,5
Argania spinosa,5
Cryptococcus neoformans,5
Rhaponticum acaule,5
Glandora rosmarinifolia,5
Zanthoxylum monogynum,5
Prototheca zopfii,5
Locusta migratoria,5
Streptococcus mutans,5
Anopheles stephensi,5
Piper tuberculatum,5
Artemisia campestris,5
Acacia nilotica,5
Pycnocycla bashagardiana,5
Haplophyllum tuberculatum,5
Candida parapsilosis,5
Tetracarpidium conophorum,5
Proteus vulgaris,5
Cuminum cyminum,5
Klebsiella pneumonia,5
Myroxylon peruiferum,4
Lasioderma serricorne,4
Tiarosporella castaneum,4
Vitex gardneriana,4
Bunium persicum,4
Lactobacillus plantarum,4
Conyza officinalis,4
Bacillus cinerea,4
Trichophyton mentagrophytes,4
Vismia guianensis,4
Melissa piperita,4
Avicennia marina,4
Cx. restuans,4
St. aureus,4
Elyonurus hensii,4
Allium ursinum,4
A. flavus,4
Trypanosma brucei,4
B. subtilis,4
Niphogeton dissecta,4
Thymus pulegioides,4
An. anthropophagus,4
Pimenta racemosa,4
Mentha arvensis,4
Ajuga chamaecistus,4
Hyptis pectinata,4
Yersinia ruckeri,4
Laurus nobilis,4
Cinnamomum verum,4
Vitex rufescens,4
Leishmania braziliensis,4
Dichrostachys cinerea,4
Myrtus communis,4
Aceria guerreronis,4
Mentha pulegium,4
Azadirachta indica,4
Enterococcus coli,4
An. gambiae,4
Zingiber officinale,4
Pinus roxburghii,4
Aspergillus brasiliensis,4
Cymbopogon lunata,4
Ziziphora clinopodioides,4
Withania somnifera,4
Echinophora platyloba,4
Spodoptera frugiperda,4
Conradina etonia,4
