,annotator_0,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5,annotator_6,annotator_7
annotator_0,"[[28  0]
 [ 0  2]]","[[28  0]
 [ 2  0]]","[[28  0]
 [ 2  0]]","[[28  0]
 [ 2  0]]","[[24  4]
 [ 2  0]]","[[28  0]
 [ 2  0]]","[[18 10]
 [ 1  1]]","[[28  0]
 [ 2  0]]"
annotator_1,"[[28  2]
 [ 0  0]]","[[30  0]
 [ 0  0]]","[[30  0]
 [ 0  0]]","[[30  0]
 [ 0  0]]","[[26  4]
 [ 0  0]]","[[30  0]
 [ 0  0]]","[[19 11]
 [ 0  0]]","[[30  0]
 [ 0  0]]"
annotator_2,"[[28  2]
 [ 0  0]]","[[30  0]
 [ 0  0]]","[[30  0]
 [ 0  0]]","[[30  0]
 [ 0  0]]","[[26  4]
 [ 0  0]]","[[30  0]
 [ 0  0]]","[[19 11]
 [ 0  0]]","[[30  0]
 [ 0  0]]"
annotator_3,"[[28  2]
 [ 0  0]]","[[30  0]
 [ 0  0]]","[[30  0]
 [ 0  0]]","[[30  0]
 [ 0  0]]","[[26  4]
 [ 0  0]]","[[30  0]
 [ 0  0]]","[[19 11]
 [ 0  0]]","[[30  0]
 [ 0  0]]"
annotator_4,"[[24  2]
 [ 4  0]]","[[26  0]
 [ 4  0]]","[[26  0]
 [ 4  0]]","[[26  0]
 [ 4  0]]","[[26  0]
 [ 0  4]]","[[26  0]
 [ 4  0]]","[[18  8]
 [ 1  3]]","[[26  0]
 [ 4  0]]"
annotator_5,"[[28  2]
 [ 0  0]]","[[30  0]
 [ 0  0]]","[[30  0]
 [ 0  0]]","[[30  0]
 [ 0  0]]","[[26  4]
 [ 0  0]]","[[30  0]
 [ 0  0]]","[[19 11]
 [ 0  0]]","[[30  0]
 [ 0  0]]"
annotator_6,"[[18  1]
 [10  1]]","[[19  0]
 [11  0]]","[[19  0]
 [11  0]]","[[19  0]
 [11  0]]","[[18  1]
 [ 8  3]]","[[19  0]
 [11  0]]","[[19  0]
 [ 0 11]]","[[19  0]
 [11  0]]"
annotator_7,"[[28  2]
 [ 0  0]]","[[30  0]
 [ 0  0]]","[[30  0]
 [ 0  0]]","[[30  0]
 [ 0  0]]","[[26  4]
 [ 0  0]]","[[30  0]
 [ 0  0]]","[[19 11]
 [ 0  0]]","[[30  0]
 [ 0  0]]"
