,Info_By_EuropePMC_Api
downloaded,True
htmllinks,https://europepmc.org/articles/PMC7809426
pdflinks,https://europepmc.org/articles/PMC7809426?pdf=render
journaltitle,Communications biology
authorinfo,Jones L
title,Shifts in honeybee foraging reveal historical changes in floral resources.
