INSTRUMENTS	INSTRUMENTS_NORMALIZED
Shimadzu GC 2010 Plus (GC)  and Shimadzu GCMS-QP2010 (MS)	Shimadzu GC 2010 Plus (GC)  and Shimadzu GCMS-QP2010 (MS)
Shimadzu GC 2010 Plus and Shimadzu GCMS-QP2010 (MS)	
Shimadzu GC-2010	Shimadzu GC 2010
Shimadzu GC-2010 Plus (GC) and Shimadzu GCMS-QP2010 Ultra (MS)	Shimadzu GC 2010 Plus (GC) and Shimadzu GCMS-QP2010 Ultra (MS)
Shimadzu GC-210 (GC) and Shimadzu QP2010 Plus (MSD)	Shimadzu GC 210 (GC) and Shimadzu QP2010 Plus (MSD)
Shimadzu GC-9A and Varian 3400	Shimadzu GC-9A and Varian 3400
Shimadzu GC-MS QP2010	
Shimadzu GC-MS-QP2010 Ultra	
Shimadzu GC//MS QP 5050 A	Shimadzu GCMS QP 5050 A
Shimadzu GCMS QP 2010 ULTRA	Shimadzu GCMS QP 2010 ULTRA
Shimadzu GCMS-QP 2010	Shimadzu GCMS-QP 2010
Shimadzu GCMS-QP2010	
Shimadzu GCMS-QP2010 Ultra	
Shimadzu GCMS-QP2010 Ultra system	
Shimadzu GCMS-QP2010-Plus	Shimadzu GCMS-QP 2010 Plus
Shimadzu MEGCs QP-2010 Plus	Shimadzu MEGCs QP-2010 Plus
Shimadzu QP 2010s	Shimadzu QP 2010s
Shimadzu QP 5000	Shimadzu QP 5000
Shimadzu QP 5050 system	
Shimadzu QP-2010	Shimadzu QP 2010
Shimadzu QP-5000	
Shimadzu QP-5000 GC-MS	
Shimadzu QP2010 Plus (GC)	Shimadzu QP 2010 Plus (GC)
Shimadzu QP2010 Plus and  HP 5890 II ionization detector	Shimadzu QP2010 Plus and  HP 5890 II ionization detector
Shimadzu QP2010 Ultra (GC-MS/FID) and Shimadzu AOC-20i (autosampler)	Shimadzu QP2010 Ultra (GC-MS/FID) and Shimadzu AOC-20i (autosampler)
Shimadzu QP5050	Shimadzu QP 5050
Shimadzu QP5050A (CG/EM)	Shimadzu QP 5050A (CG/EM)
Thermo Electron system Focus (GC)  and Polaris Q ion trap (MSD)	Thermo Electron system Focus (GC)  and Polaris Q ion trap (MSD)
Thermo Finnigan TRACE GC-Polaris Q and Thermo Finnigan mass spectrometry detector	Thermo Finnigan TRACE GC-Polaris Q and Thermo Finnigan (MSD)
Thermo Fischer GC	Thermo Fischer GC
Thermo Scientific FOCUS ISQ 230ST	Thermo Scientific FOCUS ISQ 230ST
Thermo Scientific Focus-ISQ	Thermo Scientific Focus ISQ
Thermo Scientific GC Ultra/Mass spectrophotometer ISQ	Thermo Scientific GC Ultra/Mass spectrophotometer ISQ
Thermo Scientific ISQ QD (MSD)	Thermo Scientific ISQ QD (MSD)
Thermo Trace GC 2000	Thermo Trace GC 2000
Thermo TraceGC Ultra	Thermo TraceGC Ultra
Thermoquest-Finnigan (GC)	Thermoquest-Finnigan (GC)
TSQ Quantum XLS Ultra and Thermo Fisher AS3000 Autosampler	TSQ Quantum XLS Ultra and Thermo Fisher AS3000 Autosampler
Varian 3400 GC and Finnigan SSQ 7000 quadrupole (MS)	Varian 3400 GC and Finnigan SSQ 7000 quadrupole (MS)
Varian 3800 (GC) and CP-8410 (auto-injector)	Varian 3800 (GC) and CP-8410 (auto-injector)
Varian CP-3800 (GC)	Varian CP-3800 (GC)
Varian CP-3800 (GC) and CP-8400 (autosampler) and Saturn 2200 (MS)	Varian CP-3800 (GC) and CP-8400 (autosampler) and Saturn 2200 (MS)
Varian CP-3800 (GC) and Varian 4000 ion trap (MS)	Varian CP-3800 (GC) and Varian 4000 ion trap (MS)
Varian Saturn 2100T	Varian Saturn 2100T
