,Info_By_EuropePMC_Api
downloaded,True
htmllinks,https://europepmc.org/articles/PMC7914917
pdflinks,https://europepmc.org/articles/PMC7914917?pdf=render
journaltitle,"Antibiotics (Basel, Switzerland)"
authorinfo,Barashkova AS
title,Nigellothionins from Black Cumin (<i>Nigella sativa</i> L.) Seeds Demonstrate Strong Antifungal and Cytotoxic Activity.
