,annotator_0,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5,annotator_6,annotator_7
annotator_0,1.0,0.73,0.73,0.8,0.8,0.87,0.67,0.87
annotator_1,0.73,1.0,0.87,0.93,0.93,0.87,0.67,0.73
annotator_2,0.73,0.87,1.0,0.8,0.93,0.87,0.79,0.86
annotator_3,0.8,0.93,0.8,1.0,0.87,0.93,0.61,0.8
annotator_4,0.8,0.93,0.93,0.87,1.0,0.93,0.73,0.8
annotator_5,0.87,0.87,0.87,0.93,0.93,1.0,0.67,0.87
annotator_6,0.67,0.67,0.79,0.61,0.73,0.67,1.0,0.79
annotator_7,0.87,0.73,0.86,0.8,0.8,0.87,0.79,1.0
