,Info_By_EuropePMC_Api
downloaded,True
htmllinks,https://europepmc.org/articles/PMC7845991
pdflinks,https://europepmc.org/articles/PMC7845991?pdf=render
journaltitle,PloS one
authorinfo,Nyumba TO
title,Assessing the ecological impacts of transportation infrastructure development: A reconnaissance study of the Standard Gauge Railway in Kenya.
