,annotator_0,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5,annotator_6,annotator_7
Pre-Terpene,0.81,0.84,0.86,0.84,0.87,0.88,0.74,0.84
Terpene,0.6,0.54,0.59,0.66,0.18,0.47,0.63,0.45
