,Info_By_EuropePMC_Api
downloaded,True
htmllinks,https://europepmc.org/articles/PMC7894452
pdflinks,https://europepmc.org/articles/PMC7894452?pdf=render
journaltitle,Pharmaceutical biology
authorinfo,Quan W
title,Cardioprotective effect of rosmarinic acid against myocardial ischaemia/reperfusion injury via suppression of the NF-κB inflammatory signalling pathway and ROS production in mice.
