,Info_By_EuropePMC_Api
downloaded,True
htmllinks,https://europepmc.org/articles/PMC7176691
pdflinks,https://europepmc.org/articles/PMC7176691?pdf=render
journaltitle,Scientific reports
authorinfo,Pitchaiya S
title,Perovskite Solar Cells: A Porous Graphitic Carbon based Hole Transporter/Counter Electrode Material Extracted from an Invasive Plant Species Eichhornia Crassipes.
