,annotator_0,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5,annotator_6,annotator_7
annotator_0,"[[10  0]
 [ 0 20]]","[[ 7  3]
 [ 2 18]]","[[ 9  1]
 [ 4 16]]","[[ 8  2]
 [ 2 18]]","[[ 1  9]
 [ 0 20]]","[[ 5  5]
 [ 2 18]]","[[10  0]
 [ 2 18]]","[[ 4  6]
 [ 1 19]]"
annotator_1,"[[ 7  2]
 [ 3 18]]","[[ 9  0]
 [ 0 21]]","[[ 8  1]
 [ 5 16]]","[[ 8  1]
 [ 2 19]]","[[ 1  8]
 [ 0 21]]","[[ 4  5]
 [ 3 18]]","[[ 8  1]
 [ 4 17]]","[[ 3  6]
 [ 2 19]]"
annotator_2,"[[ 9  4]
 [ 1 16]]","[[ 8  5]
 [ 1 16]]","[[13  0]
 [ 0 17]]","[[10  3]
 [ 0 17]]","[[ 1 12]
 [ 0 17]]","[[ 6  7]
 [ 1 16]]","[[11  2]
 [ 1 16]]","[[ 5  8]
 [ 0 17]]"
annotator_3,"[[ 8  2]
 [ 2 18]]","[[ 8  2]
 [ 1 19]]","[[10  0]
 [ 3 17]]","[[10  0]
 [ 0 20]]","[[ 1  9]
 [ 0 20]]","[[ 6  4]
 [ 1 19]]","[[ 9  1]
 [ 3 17]]","[[ 5  5]
 [ 0 20]]"
annotator_4,"[[ 1  0]
 [ 9 20]]","[[ 1  0]
 [ 8 21]]","[[ 1  0]
 [12 17]]","[[ 1  0]
 [ 9 20]]","[[ 1  0]
 [ 0 29]]","[[ 0  1]
 [ 7 22]]","[[ 1  0]
 [11 18]]","[[ 0  1]
 [ 5 24]]"
annotator_5,"[[ 5  2]
 [ 5 18]]","[[ 4  3]
 [ 5 18]]","[[ 6  1]
 [ 7 16]]","[[ 6  1]
 [ 4 19]]","[[ 0  7]
 [ 1 22]]","[[ 7  0]
 [ 0 23]]","[[ 6  1]
 [ 6 17]]","[[ 4  3]
 [ 1 22]]"
annotator_6,"[[10  2]
 [ 0 18]]","[[ 8  4]
 [ 1 17]]","[[11  1]
 [ 2 16]]","[[ 9  3]
 [ 1 17]]","[[ 1 11]
 [ 0 18]]","[[ 6  6]
 [ 1 17]]","[[12  0]
 [ 0 18]]","[[ 5  7]
 [ 0 18]]"
annotator_7,"[[ 4  1]
 [ 6 19]]","[[ 3  2]
 [ 6 19]]","[[ 5  0]
 [ 8 17]]","[[ 5  0]
 [ 5 20]]","[[ 0  5]
 [ 1 24]]","[[ 4  1]
 [ 3 22]]","[[ 5  0]
 [ 7 18]]","[[ 5  0]
 [ 0 25]]"
