eoPlant,count
Syrian oregano,,1
betony,1
wild thyme,1
Bible hyssop,1
absinthe,1
Juniperus oxycedrus,1
Artemisia fragrans,1
Thymbra spicata,,1
Lippia gracilis,1
Perovskia atriplicifolia,1
Thymus zygis,,1
Daucus carota,,1
Campomanesia xanthocarpa,1
Artemisia scoparia,,1
Eryngium billardieri,1
Cannabis sativa,1
Origanum syriacum,,1
Hyssopus officinalis,,1
Ferula glauca,1
Artemisia vulgaris.,1
Lavandula viridis,1
Artemisia vulgaris,,1
Water mint,1
Thymus capitatus,,1
Lippia graveolens,,1
Lippia graveolens,1
Mentha arvensis,,1
Coleus aromaticus,,1
Eucalyptus camaldulensis;,1
winter savory,1
Ziziphus spina-christi,1
Origanum acutidens,1
Pulicaria dysenterica,1
Petroselinum crispum,,1
Zingiber neesanum,1
Origanum ehrenbergii,1
Eupatorium triplinerve,1
Corymbia citriodora,,1
Copaifera reticulata,1
Lavandula stoechas,1
Zingiber officinale.,1
Tanacetum polycephalum,1
Ferula assa-foetida,1
Salvia hydrangea,1
Coridothymus capitatus,1
Hyssopus officinalis,1
Origanum majorana,,1
watermelon,1
Juglans regia,1
Aeollanthus suaveolens,1
Alpinia zerumbet,,1
Borago officinalis,,1
blackcurrant,1
Santalum album,1
Vitis vinifera,1
wild marjoram,1
Homalomena sagittifolia,1
Artemisia afra,,1
Artemisia judaica,,1
Salvia pomifera,1
Origanum ehrenbergii,,1
Tagetes minuta,,1
Cymbopogon flexuosus,1
Solidago virgaurea,1
Satureja cuneifolia,1
Origanum minutiflorum,1
Rosa brunonii,1
Couroupita guianensis,1
Lavandula officinalis,,1
Cyperus rotundus,1
Myrciaria dubia,1
Lantana camara,,1
Laserpitium zernyi,1
Teucrium polium,1
Piper nigrum;,1
Hyptis suaveolens,,1
Brassica oleracea,1
Carum copticum,1
Syrian oregano,1
Thymus vulgaris.,1
Pelargonium graveolens,,1
Trachyspermum ammi,,1
coriander,1
Corn mint,,1
Origanum vulgare,,1
Thymus serpyllum,,1
Thymus pulegioides,1
Astydamia latifolia,1
black pepper,,1
Mikania glomerata,1
Manilkara achras,1
Juniperus phoenicea,1
Myrtus communis L.,,1
Angelica archangelica.,1
common yarrow,1
Melaleuca alternifolia,,1
Eugenia brasiliensis,1
Rubus ulmifolius,,1
A. armeniaca,1
Artemisia myriantha,1
Satureja thymbra,,1
Curcuma longa.,1
Inula oculus-christi,1
Satureja spinosa,1
Watercress,1
Murraya koenigii,1
Satureja montana,,1
Nasturtium officinale,1
