monoterpene,count
Limonene,78
Linalool,69
Camphor,56
Myrcene,44
Borneol,43
Carvacrol,43
Thymol,42
Camphene,41
Sabinene,41
Terpinen-4-ol,34
Geraniol,22
Eucalyptol,14
Piperitone,14
Carvone,14
Nerol,12
Linalyl acetate,12
Pulegone,11
Verbenone,10
Terpineol,9
Menthone,8
Citronellol,8
Citral,8
Menthol,7
Thymoquinone,7
Ocimene,7
Citronellal,6
Carveol,6
Fenchone,5
Chrysanthenone,5
Pinene,5
Thujone,5
Phellandrene,5
Terpinene,4
Carene,4
Cuminaldehyde,3
Lavandulol,3
Verbenol,3
Thujene,3
P-Cymene,2
Fenchol,2
Lavandulyl acetate,2
Sobrerol,1
Geranyl pyrophosphate;,1
Safranal,1
Ascaridole,1
Umbellulone,1
Rose oxide,1
Bornane,1
