,annotator_0,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5,annotator_6,annotator_7
annotator_0,"[[19  0]
 [ 0 11]]","[[19  0]
 [ 2  9]]","[[17  2]
 [ 0 11]]","[[18  1]
 [ 0 11]]","[[14  5]
 [ 0 11]]","[[18  1]
 [ 6  5]]","[[17  2]
 [ 0 11]]","[[18  1]
 [ 0 11]]"
annotator_1,"[[19  2]
 [ 0  9]]","[[21  0]
 [ 0  9]]","[[17  4]
 [ 0  9]]","[[18  3]
 [ 0  9]]","[[14  7]
 [ 0  9]]","[[19  2]
 [ 5  4]]","[[17  4]
 [ 0  9]]","[[18  3]
 [ 0  9]]"
annotator_2,"[[17  0]
 [ 2 11]]","[[17  0]
 [ 4  9]]","[[17  0]
 [ 0 13]]","[[17  0]
 [ 1 12]]","[[14  3]
 [ 0 13]]","[[16  1]
 [ 8  5]]","[[17  0]
 [ 0 13]]","[[17  0]
 [ 1 12]]"
annotator_3,"[[18  0]
 [ 1 11]]","[[18  0]
 [ 3  9]]","[[17  1]
 [ 0 12]]","[[18  0]
 [ 0 12]]","[[14  4]
 [ 0 12]]","[[17  1]
 [ 7  5]]","[[17  1]
 [ 0 12]]","[[18  0]
 [ 0 12]]"
annotator_4,"[[14  0]
 [ 5 11]]","[[14  0]
 [ 7  9]]","[[14  0]
 [ 3 13]]","[[14  0]
 [ 4 12]]","[[14  0]
 [ 0 16]]","[[13  1]
 [11  5]]","[[14  0]
 [ 3 13]]","[[14  0]
 [ 4 12]]"
annotator_5,"[[18  6]
 [ 1  5]]","[[19  5]
 [ 2  4]]","[[16  8]
 [ 1  5]]","[[17  7]
 [ 1  5]]","[[13 11]
 [ 1  5]]","[[24  0]
 [ 0  6]]","[[16  8]
 [ 1  5]]","[[17  7]
 [ 1  5]]"
annotator_6,"[[17  0]
 [ 2 11]]","[[17  0]
 [ 4  9]]","[[17  0]
 [ 0 13]]","[[17  0]
 [ 1 12]]","[[14  3]
 [ 0 13]]","[[16  1]
 [ 8  5]]","[[17  0]
 [ 0 13]]","[[17  0]
 [ 1 12]]"
annotator_7,"[[18  0]
 [ 1 11]]","[[18  0]
 [ 3  9]]","[[17  1]
 [ 0 12]]","[[18  0]
 [ 0 12]]","[[14  4]
 [ 0 12]]","[[17  1]
 [ 7  5]]","[[17  1]
 [ 0 12]]","[[18  0]
 [ 0 12]]"
