,Info_By_EuropePMC_Api
downloaded,True
htmllinks,https://europepmc.org/articles/PMC7829135
pdflinks,https://europepmc.org/articles/PMC7829135?pdf=render
journaltitle,Data in brief
authorinfo,Senyanzobe JMV
title,"Data on vegetation sampling in areas dominated <i>by Pteridium aquilinum</i> in Nyungwe forest, Western Province of Rwanda."
