,Info_By_EuropePMC_Api
downloaded,True
htmllinks,https://europepmc.org/articles/PMC7846740
pdflinks,https://europepmc.org/articles/PMC7846740?pdf=render
journaltitle,Scientific reports
authorinfo,Shiferaw H
title,"Water use of Prosopis juliflora and its impacts on catchment water budget and rural livelihoods in Afar Region, Ethiopia."
