,Info_By_EuropePMC_Api
downloaded,True
htmllinks,https://europepmc.org/articles/PMC7790410
pdflinks,https://europepmc.org/articles/PMC7790410?pdf=render
journaltitle,PloS one
authorinfo,Alba C
title,Combining botanical collections and ecological data to better describe plant community diversity.
