,Info_By_EuropePMC_Api
downloaded,True
htmllinks,https://europepmc.org/articles/PMC7846124
pdflinks,https://europepmc.org/articles/PMC7846124?pdf=render
journaltitle,AoB PLANTS
authorinfo,Castillo ML
title,Genetic insights into the globally invasive and taxonomically problematic tree genus <i>Prosopis</i>.
