,Info_By_EuropePMC_Api
downloaded,True
htmllinks,https://europepmc.org/articles/PMC7828476
pdflinks,https://europepmc.org/articles/PMC7828476?pdf=render
journaltitle,International journal of molecular sciences
authorinfo,Cai M
title,Why Is the Invasive Plant <i>Sphagneticola trilobata</i> More Resistant to High Temperature than Its Native Congener?
