Unnamed: 0,pmcid,fig_no,annotator_0,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5,annotator_6,annotator_7,frequency(yes),link
5,PMC6394206,Fig. 5,yes,no,no,yes,no,yes,no,yes,4,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6394206/figure/fig5/
8,PMC6437448,Fig. 1,yes,yes,no,yes,yes,yes,no,no,5,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6437448/figure/fig1/
25,PMC6650903,Figure 4,no,yes,yes,yes,yes,yes,no,no,5,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6650903/figure/ijms-20-03307-f004/
