PMCID	table_no	table_title	notes	serial   	compound 	percent
PMC5661929	Table 2	Chemical composition (GC–MS) of Pittosporum tobira seed obta ...				
PMC5668225	Table 3	Composition of BEO and gaseous phase in equilibrium with the liquid at 0 °C	Extracted from 3_floats-group			
PMC5668225	Table 4	Composition of BEO and gaseous phase in equilibrium with the liquid at 0, 22 and 40 °C	Extracted from 3_floats-group			
PMC5669080	Table 2	Identified components in the hydrodistilled essential oil of flower and leaves of Ferula tingitana				
PMC5669111	Table 1	Essential oil composition of Cinnamomum zeylanicum identified by gas chromatography/mass spectroscopy				
PMC5674267			no EO composition table.			
PMC5684592			no EO composition table.			
PMC5694497	Table 2	Major components (%) identified in the essential oil extract ...				
PMC5694587	Table 2	Chemical composition of some common Mediterranean plant esse ...				
PMC5694611	Table 1	Chemical composition, concentrations (%), and calculated ret ...				
PMC5694875			no EO composition table.			
PMC5694991	Table 3	Chemical composition of the essential oil of two studied Ira ...				
PMC5699893			no EO composition table.			
PMC5702407	Table 1	Main chemical compounds of essential oil obtained from aeria ...				
PMC5702920	Table 2	Relative (%) chemical composition of the collected air after 1 and 15 minutes of nebulization of each formulation. 	no EO composition table.			
PMC5717781	Table 1	Reported major constituents of Echinophora genus essential o ...				
PMC5723952	Table 1	Compounds identified by GC-MS technique in the Rudbeckia tri ...				
PMC5735349	Table 1	Chemical composition of the essential oil from Lindera eryth ...				
PMC5736702			no EO composition table.			
PMC5742650	Table 1	Concentrations of the essential oil of Rosemary compounds obtained by different methods	Extracted from 3_floats-group			
PMC5745743			no EO composition table.			
PMC5746745	Table 5	Main components of spike lavender leaf essential oil from li ...				
PMC5747963			no EO composition table.			
PMC5748641	Table 1	Chemical composition of Niphogeton dissecta essential oil of ...				
PMC5750594	Table 2	Chemical composition of the oleoresin essential oil of Proti ...				
PMC5750594	Table 1	A brief review of Protium oleoresin traditional medicinal uses, biological properties, and essential oil compositions.	Reviewed EO composition rather tested or experimented.			
PMC5750594	Table 3	Enantiomeric excess (ee) and distribution (ed) of monoterpenoids in the resin oil of Protium amazonicum.	Enantiomeric excess (ee) and distribution (ed) of monoterpenoids in the resin oil of Protium amazonicum.			
PMC5750605	Table 1					
PMC5750654			no EO composition table.			
PMC5751248						
PMC5761127	Table 1	Chemical composition (%) of leaves essential oil from Tunisian M.piperita as identified by GC/MS analysis				
PMC5772139			no EO composition table.			
PMC5778200	Table 1	The influence of different pretreatments on the chemical com ...				
PMC5778779	Table 1	Essential oil constituents of C. macrocarpa branchlets and C ...				
PMC5788217	Table 1	Chemical composition of ZEO.				
PMC5789270	Table 2	Thyme essential oil composition and volatilized compounds in ...				
PMC5789270	Table 3	Savory essential oil composition and volatilized compounds in storage cabinet at 1, 14 and 28 days.				
PMC5789316	Table 1	Tocopherol homologue concentration in almond kernel and kernel oil.	no EO table is reported. Tocopherol homologue concentration in almond kernel and kernel oil.			
PMC5794096	Table 1	Volatile compounds identified by gas chromatography followed ...				
PMC5795983	Table 1	Chemical composition of the essential oil of the leaves from ...				
PMC5797122	Table 1	The main components of N. cataria species depends on agricultural practices, soil, age of the plant, collection period, drying, extraction methods, climate and geographic origin (NPL – nepetalactone).				
PMC5806308						
PMC5807769						
PMC5811758	Table 3	GC/MS analysis of the essential oil from the fruits of Pycno ...				
PMC5813356	Table 1	Chemical composition of the essential oil of Haplophyllum tu ...				
PMC5822514	Table 1	Major compounds identified and quantified in the essential o ...				
PMC5830750	Table 1	Comparative percentage compositions of the HD and HS-SPME extract from flowers, leaves and roots of Echinops ilicifolius. Italics indicate the main components of each method.	3_floats-group			
PMC5838999	Table 1	Composition of the essential oil of R. acaule				
PMC5842484	Table 2	GC-MS analyses of Origanum vulgare L. essential oil.				
PMC5846372						
PMC5848570			no EO table is reported. Fatty acids profiles of C. nigrodigitatus and H. odoe oils obtained by cooking-pressing method and maceration in hexane			
PMC5849894			no EO composition table.			
PMC5849928	Table 1	Chemical compounds of anise essential oil (AEO)				
PMC5852288			no EO composition table.			
PMC5855832	Table 1	Constituents of Syzygium aromaticum Essential Oil and their ...				
PMC5858069			no EO composition table.			
PMC5858457	Table 5	Chemical constituents GC-MS analysis of A. nilotica seed ess ...				
PMC5859817	Table 1	Identification of some bioactive compounds in essential oil ...				
PMC5867545			no EO composition table.			
