PMC5918559		
PMC5919639		
PMC5920421	MPOE Preparation and Characterization	Egypt
PMC5920425	Materials	Germany
PMC5921405		
PMC5923693	Plant material	Italy
PMC5925846	Plant material and obtaining the essential oil	Brazil
PMC5933010		
PMC5933022		
PMC5933509	Plant material, essential oil extraction and characterization	Brazil
PMC5933692	Plant material	Brazil
PMC5937097		
PMC5937106		
PMC5938542	Plant material	China
PMC5940754		
PMC5945564		
PMC5946457	Plant material	Reunion Island
PMC5947909	Plant Material	Poland
PMC5952513		
PMC5954905		
PMC5956054	Plant Material	China
PMC5957362		
PMC5958151	Collection of plant material	 Turkey
PMC5958191		
PMC5960541	Acaricidal activities and color deformation effects of the essential oils of M. officinalis cultivated in the three different countries	France, Ireland, Serbia
PMC5960548		
PMC5961776	Plant materials	Algeria
PMC5963643	Materials and Methods	USA
PMC5964621	Plant material	Germany
PMC5970210	Plant material	Algeria
PMC5974043	Collection of Plant Material and Extraction of Essential Oil	India
PMC5977410		
PMC5978029		
PMC5985564		
PMC5993771		
PMC5997812	Materials and Chemicals	China
