,Info_By_EuropePMC_Api
downloaded,True
htmllinks,https://europepmc.org/articles/PMC7899755
pdflinks,https://europepmc.org/articles/PMC7899755?pdf=render
journaltitle,Journal of immunology research
authorinfo,Li J
title,Chinese Poplar Propolis Inhibits MDA-MB-231 Cell Proliferation in an Inflammatory Microenvironment by Targeting Enzymes of the Glycolytic Pathway.
