,Info_By_EuropePMC_Api
downloaded,True
htmllinks,https://europepmc.org/articles/PMC7889193
pdflinks,https://europepmc.org/articles/PMC7889193?pdf=render
journaltitle,Prion
authorinfo,Daskalov A
title,The expanding scope of amyloid signalling.
