	process
	air-dried
	cleaned
	cold press
	commercially
	commercially purchased
	crushed
	dried
	liquid extracts
	hydrodistillation
	local market
	mechanical press 
	distillation
	powdered
	purchased
	rinsed 
	solvent extraction
	steam distillation
	vacuum-dried
	washed
	pressing
	sublimation
