LOCUS ID OF THE GENE,NAME OF THE GENE,SYMBOL OF THE GENE,DESCRIPTION OF THE GENE,SYNONYMS OF THE GENE
AT1G31950,TERPENE SYNTHASE 29,TPS29,"	Sesterterpene synthase which produces various sesterpne backbones bia type-A cyclization mechanism","TERPENE SYNTHASE 29, TPS29"
AT1G33750,TERPENE SYNTHASE 22,TPS22,Sesterterpene synthase which produces various sesterpne backbones bia type-A cyclization mechanism,"TERPENE SYNTHASE 22, TPS22"
AT1G48800,,AT1G48800,Terpenoid cyclases/Protein prenyltransferases superfamily protein,F11I4.3; F11I4_3
AT1G48820,,AT1G48820,Terpenoid cyclases/Protein prenyltransferases superfamily protein,F11I4.2; F11I4_2
AT1G61120,,TPS04,terpene synthase 04,F11P17.15; F11P17_15; GERANYLLINALOOL SYNTHASE; GES; terpene synthase 04; TERPENE SYNTHASE 4; TPS4
AT1G61680,,TPS14,terpene synthase 14,"ATTPS14, TERPENE SYNTHASE 14, TPS14"
AT1G66020,,AT1G66020,Terpenoid cyclases/Protein prenyltransferases superfamily protein,"TERPENE SYNTHASE 26, TPS26"
AT1G70080,TERPENE SYNTHASE 6,TPS6,Terpenoid cyclases/Protein prenyltransferases superfamily protein,F20P5.19; F20P5_19
AT1G79460,,GA2,Terpenoid cyclases/Protein prenyltransferases superfamily protein,ARABIDOPSIS THALIANA ENT-KAURENE SYNTHASE; ARABIDOPSIS THALIANA ENT-KAURENE SYNTHASE 1; ATKS; ATKS1; ENT-KAURENE SYNTHASE; ENT-KAURENE SYNTHASE 1; GA REQUIRING 2; KS; KS1; T8K14.12; T8K14_12
AT2G24210,,TPS10,terpene synthase 10,F27D4.12; F27D4_12; terpene synthase 10
AT2G24230,,AT2G24230,Leucine-rich repeat protein kinase family protein,F27D4.14; F27D4_14
AT2G37140,,AT2G37140,Terpenoid synthases superfamily protein,T2N18.10; T2N18_10
AT3G14490,,AT3G14490,Terpenoid cyclases/Protein prenyltransferases superfamily protein,
AT3G14520,,AT3G14520,Terpenoid cyclases/Protein prenyltransferases superfamily protein,"ATSESTERTPS1, ATTPS18, SESTERTERPENE SYNTHASE 1, TERPENE SYNTHASE 18, TPS18"
AT3614540,,AT3G14540,Terpenoid cyclases/Protein prenyltransferases superfamily protein,"ATSESTERTPS2, ATTPS19, SESTERTERPENE SYNTHASE 2, TERPENE SYNTHASE 19, TPS19"
AT3G25810,,AT3G25810,Terpenoid cyclases/Protein prenyltransferases superfamily protein,
AT3G25820,,TPS-CIN,"terpene synthase-like sequence-1,8-cineole","ATTPS-CIN, TERPENE SYNTHASE-LIKE SEQUENCE-1,8-CINEOLE, TPS23"
AT3G25830,,TPS-CIN,"terpene synthase-like sequence-1,8-cineole","ATTPS-CIN, TERPENE SYNTHASE-LIKE SEQUENCE-1,8-CINEOLE, TPS-CIN, TPS27"
AT3G29110,,AT3G29110,Terpenoid cyclases/Protein prenyltransferases superfamily protein,
AT3G29190,,AT3G29190,Terpenoid cyclases/Protein prenyltransferases superfamily protein,
AT3G29410,,AT3G29410,Terpenoid cyclases/Protein prenyltransferases superfamily protein,"TERPENE SYNTHASE 25, TPS25"
AT3G32030,,AT3G32030,Terpenoid cyclases/Protein prenyltransferases superfamily protein,"TERPENE SYNTHASE 9, TPS9"
AT4602780,,GA1,Terpenoid cyclases/Protein prenyltransferases superfamily protein,ABC33; ARABIDOPSIS THALIANA ENT-COPALYL DIPHOSPHATE SYNTHETASE 1; ATCPS1; CPP synthase; CPS; CPS1; ENT-COPALYL DIPHOSPHATE SYNTHETASE; ENT-COPALYL DIPHOSPHATE SYNTHETASE 1; GA REQUIRING 1; T5J8.9; T5J8_9
AT4G13300,,TPS13,terpenoid synthase 13,ATTPS13; T9E8.40; T9E8_40; terpenoid synthase 13
AT4G13280,,TPS12,terpenoid synthase 12,ATTPS12; T9E8.20; T9E8_20; terpenoid synthase 12
AT4G15870,,TS1,terpene synthase 1,ATTS1; DL3975C; FCAALL.405; terpene synthase 1
AT4G16740,,TPS03,terpene synthase 03,ATTPS03; DL4395W; FCAALL.18; terpene synthase 03
AT4G16730,,TPS02,terpene synthase 02,DL4390W; FCAALL.15; terpene synthase 02
AT4G20200,,AT4G20200,Terpenoid cyclases/Protein prenyltransferases superfamily protein,F1C12.120; F1C12_120
AT4G20210,,AT4G20210,Terpenoid cyclases/Protein prenyltransferases superfamily protein,"TERPENE SYNTHASE 8, TPS08"
AT4G20230,,AT4G20230,terpenoid synthase superfamily protein,"TERPENE SYNTHASE 30, TPS30"
AT5G23960,,TPS21,Terpene synthase 21,ATTPS21; MZF18.16; MZF18_16; terpene synthase 21
AT5G44630,,AT5G44630,Terpenoid cyclases/Protein prenyltransferases superfamily protein,K15C23.7; K15C23_7
AT5G48110,,AT5G48110,Terpenoid cyclases/Protein prenyltransferases superfamily protein,"AT5G48110-CVI, TERPENE SYNTHASE 20, TPS20"
