15,24,25,11,13,11,17,8,5,10,9,8,5,14,11,7,26,4,4,9,4,3,4,5,6
66,2,3,2,8,4,3,0,1,3,1,1,2,4,1,0,0,2,1,0,5,0,1,0,4
5,11,10,11,5,7,12,6,4,4,3,2,2,2,3,0,5,5,2,2,1,1,2,4,1
15,10,14,4,6,4,9,2,3,5,4,5,4,3,6,7,1,2,6,3,6,5,0,5,4
12,5,10,5,16,7,8,10,5,5,1,3,3,3,3,4,8,3,2,0,7,1,2,3,4
11,6,4,8,8,5,5,5,8,5,1,3,8,1,6,1,1,3,2,1,4,1,0,5,2
8,5,6,16,7,5,2,9,3,7,1,6,6,4,6,2,7,4,1,2,5,1,1,1,4
12,1,2,4,6,9,3,4,4,8,2,4,3,3,1,2,5,1,2,1,3,1,0,3,1
19,3,6,6,7,6,4,3,5,2,1,3,4,0,2,1,4,1,1,1,2,1,1,2,1
5,7,3,7,1,8,5,2,3,5,1,1,5,2,1,2,4,0,2,1,0,1,1,2,1
4,26,7,2,4,2,3,3,4,1,2,2,3,1,3,3,0,2,2,2,4,2,2,1,3
9,3,7,2,2,5,2,3,2,2,2,1,2,4,7,0,3,2,2,1,3,1,1,4,2
4,6,5,3,5,7,7,6,3,1,1,3,4,4,2,3,6,0,3,3,1,3,3,0,1
2,23,3,2,5,3,1,2,2,0,0,0,1,0,3,3,0,1,1,2,3,1,2,0,1
7,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,3,1,5,5,2,2,3,1,1,0,0,1,2,2,6,0,0,0,0,0,0,1,0,1
9,3,3,1,5,5,3,7,2,1,1,1,2,2,0,3,4,0,2,0,1,0,1,0,1
5,2,4,2,10,1,1,0,1,1,0,3,0,2,0,1,0,0,0,0,1,0,0,0,2
3,4,4,3,2,2,5,3,2,2,1,1,0,1,0,2,2,2,0,1,1,1,0,1,0
0,4,2,5,5,3,0,5,5,5,1,0,0,2,1,0,5,0,0,1,0,0,1,2,0
1,4,5,2,1,5,1,1,2,1,4,0,1,1,5,6,0,1,0,3,0,2,0,1,1
15,2,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,2
5,2,4,4,4,3,3,1,3,1,1,1,0,2,1,0,1,0,1,2,3,2,1,1,0
4,1,3,2,2,3,1,2,2,1,0,1,0,2,0,1,1,1,1,1,0,0,0,0,2
3,1,1,4,5,0,1,0,3,2,3,2,0,1,4,2,1,2,0,0,3,1,2,1,1
