Unnamed: 0,pmcid,fig_no,annotator_0,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5,annotator_6,annotator_7,frequency(yes),link
3,PMC6360084,Fig. 8,yes,no,yes,no,no,no,yes,no,3,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6360084/figure/fig-8/
10,PMC6453882,Figure 4,yes,yes,no,no,no,no,yes,no,3,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6453882/figure/Fig4/
16,PMC6585571,FIGURE 1,yes,yes,yes,yes,no,no,yes,no,5,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6585571/figure/F1/
18,PMC6589721,Figure 3,no,yes,yes,yes,no,no,no,no,3,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6589721/figure/mpp12800-fig-0003/
