disease,count
ulcerative colitis.,2
ulcerative colitis,,2
respiratory disease,,2
kidney failure.,2
kidney failure,,2
liver disease,2
autoimmune disease.,2
neuropathy,2
trichostrongylosis,2
macrocytic anemia,2
aspergillosis,2
shortness,2
metabolic acidosis,,2
periodontal disease,1
central nervous system cancer,1
bladder cancer,1
ectropion,1
pancreatitis,1
dental caries;,1
vascular dementia,1
neonatal jaundice,1
premature ejaculation,1
intrahepatic cholangiocarcinoma,,1
enteropathy,1
contact dermatitis,,1
amnesia,1
erectile dysfunction,,1
lymphadenitis,1
hand, foot, and mouth disease,1
mucopolysaccharidosis,1
chagas disease.,1
dry eye syndrome,1
scrofula,1
vaginal discharge,,1
urinary tract infection.,1
metabolic syndrome,1
nasopharyngeal carcinoma.,1
adrenocortical carcinoma.,1
brain cancer,,1
prediabetes,1
mycosis,1
infectious mononucleosis.,1
urinary tract infection,1
liver disease,,1
liver disease.,1
pancreatic cancer.,1
pancreatic cancer,,1
eosinophilic pneumonia,1
rectum cancer,1
strabismus,1
ancylostomiasis,1
sclerosing cholangitis,1
neoplasm,1
paracoccidioidomycosis,1
gonorrhea,1
gestational hypertension?,1
intestinal schistosomiasis.,1
acute tubular necrosis,1
intestinal schistosomiasis,,1
ulcerative stomatitis,,1
varicose veins,,1
systemic lupus erythematosus,,1
pelvic inflammatory disease,,1
lymphoblastic leukemia,,1
rheumatoid arthritis.,1
viral disease,1
otitis media,,1
congestive heart failure,1
heart attack,,1
cerebral malaria,1
pulmonary tuberculosis.,1
pulmonary tuberculosis,,1
angiostrongyliasis,1
diabetic retinopathy,1
tick-borne encephalitis,1
renal cell carcinoma,,1
vaginitis,1
cervicitis,1
peripheral neuropathy,1
systemic lupus erythematosus,1
chronic obstructive pulmonary disease,,1
stomach cancer,,1
hernia,1
chronic obstructive pulmonary disease.,1
blepharoconjunctivitis,1
chronic obstructive pulmonary disease,1
chronic myeloid leukemia.,1
head and neck cancer,,1
lupus erythematosus,1
metagonimiasis,1
motion sickness,1
mouth disease,1
aseptic meningitis,,1
autoimmune disease,1
pleurisy,1
bowel obstruction,,1
myasthenia gravis,1
metabolic syndrome,,1
pituitary adenoma,1
interstitial cystitis,1
serous cystadenocarcinoma,1
cervical cancer,,1
myeloid leukemia.,1
mastocytosis,1
lymphangitis,1
pulmonary hypertension,1
multiple myeloma,,1
neurological disorder,1
diabetic neuropathy,1
myocarditis,1
bronchiolitis,1
dyslipidemia,1
infectious disease.,1
mastocytoma,1
bladder cancer,,1
hepatic coma,1
infectious disease,,1
multiple sclerosis.,1
multiple sclerosis,,1
skin cancer,,1
tonsillitis,1
viral hepatitis,1
head and neck cancer,1
glucose intolerance,1
hidradenitis suppurativa,1
arthropathy,1
acute leukemia,1
blepharospasm,1
aplastic anemia,,1
gestational hypertension,1
arteriosclerosis,1
hyperthyroidism,1
chronic myeloid leukemia,1
neurofibromatosis,1
pernicious anemia,,1
optic atrophy,1
yellow fever.,1
malignant peripheral nerve sheath tumor,1
ascaridiasis,1
bacterial disease,1
choriocarcinoma,1
acne vulgaris.,1
acne vulgaris,,1
trigeminal neuralgia,,1
uterine cancer,,1
schizophrenia,1
meningoencephalitis,1
duodenal ulcer,,1
autoimmune disease,,1
lupus erythematosus,,1
ulcerative colitis;,1
biliary tract cancer,1
lepromatous leprosy,,1
sexual dysfunction,1
vitiligo,1
herpes zoster,,1
allergic contact dermatitis.,1
metabolic acidosis,1
typhoid fever,,1
chagas disease,1
typhoid fever.,1
ovarian disease,1
cholecystitis,1
chronic lymphocytic leukemia,,1
leptospirosis,1
dracunculiasis,1
laryngitis,1
microcephaly,1
seborrheic dermatitis,,1
neurofibroma,1
hymenolepiasis,1
parasitic disease.,1
proctitis,1
japanese encephalitis,1
