,Info_By_EuropePMC_Api
downloaded,True
htmllinks,https://europepmc.org/articles/PMC7825567
pdflinks,https://europepmc.org/articles/PMC7825567?pdf=render
journaltitle,"Antibiotics (Basel, Switzerland)"
authorinfo,Horn C
title,Anticapsular and Antifungal Activity of α-Cyperone.
